LINK,SCHOOL,LAT,LONG,NAME,CONFERENCE,COLOR_SOURCE,R0,G0,B0,HEX0,R1,G1,B1,HEX1,R2,G2,B2,HEX2,R3,G3,B3,HEX3,R4,G4,B4,HEX4
https://en.wikipedia.org/wiki/University_of_Oklahoma,Oklahoma,35.2088,-97.4457,Sooners,Big 12,http://www.ou.edu/content/brand/colors.html,132,22,23,#841617,253,249,216,#FDF9D8,102,0,0,#660000,153,153,153,#999999,,,,
https://en.wikipedia.org/wiki/University_of_Oregon,Oregon,44.0443,-123.0758,Ducks,Pac-12,https://brand.uoregon.edu/colors,18,71,52,#124734,254,225,35,#FEE123,0,121,53,#007935,98,167,15,#62A70F,168,168,170,#A8A8AA
https://en.wikipedia.org/wiki/University_of_Pittsburgh,Pittsburgh,40.4446,-79.9533,Panthers,ACC,http://www.communications.pitt.edu/Graphic-Standards.pdf,0,32,91,#00205B,179,163,109,#B3A36D,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_South_Alabama,South Alabama,30.69611586,-88.18421455,Jaguars,Sun Belt,http://southalabama.edu/departments/publicrelations/brand/resources/usa_brand_guidelines.pdf#page=71,0,32,91,#00205B,191,13,62,#BF0D3E,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_South_Carolina,South Carolina,33.99392648,-81.02988642,Gamecocks,SEC,http://www.sc.edu/toolbox/officialColors.php,115,0,10,#73000A,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_South_Florida,South Florida,28.05889243,-82.41383245,Bulls,American,http://usfweb4.usf.edu/ucm/marketing/colors.aspx,0,103,71,#006747,207,196,147,#CFC493,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Southern_California,USC,34.0206,-118.2848,Trojans,Pac-12,https://identity.usc.edu/files/2012/02/USC-Graphic-Identity-Cheat-Sheet.pdf,153,27,30,#991B1E,255,204,0,#FFCC00,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Southern_Mississippi,Southern Miss,31.329638,-89.333847,Golden Eagles,C-USA,http://www.southernmiss.com/licensing/style-guide.html,253,199,55,#FDC737,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Tennessee,Tennessee,35.95167,-83.93,Volunteers,SEC,http://brand.utk.edu/colors/palettes/,255,130,0,#FF8200,88,89,91,#58595B,112,85,80,#705550,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Texas_at_Austin,Texas,30.285,-97.735,Longhorns,Big 12,http://brand.utexas.edu/visual-identity/colors,191,87,0,#BF5700,,,,,,,,,,,,,,,,
