Stadium,City,State,Team,Conference,Capacity,Surface
Notre Dame Stadium,Notre Dame,IN,Notre Dame,Independent,77622,FieldTurf
Ohio Stadium,Columbus,OH,Ohio State,Big Ten,102780,FieldTurf
Pat Dye Field at Jordan–Hare Stadium,Auburn,AL,Auburn,SEC,88043,Grass
Frank Solich Field at Peden Stadium,Athens,OH,Ohio,MAC,24000,FieldTurf
Pratt & Whitney Stadium at Rentschler Field,East Hartford,CT,UConn,Independent,40000,Kentucky Bluegrass
Protective Stadium,Birmingham,AL,UAB,American,47100,Artificial
Raymond James Stadium,Tampa,FL,South Florida,American,65857,Grass
Reser Stadium,Corvallis,OR,Oregon State,Pac-12,35548,FieldTurf
FIU Stadium,Miami,FL,FIU,C-USA,23500,FieldTurf
Rice Stadium,Houston,TX,Rice,American,47000,Synthetic Turf
Rice–Eccles Stadium,Salt Lake City,UT,Utah,Pac-12,51444,FieldTurf CoolPlay
Rose Bowl Stadium,Pasadena,CA,UCLA,Pac-12,90888,Grass
Ross–Ade Stadium,West Lafayette,IN,Purdue,Big Ten,61441,Grass
Ryan Field,Evanston,IL,Northwestern,Big Ten,47130,Grass
Rynearson Stadium,Ypsilanti,MI,Eastern Michigan,MAC,30200,FieldTurf
Sanford Stadium,Athens,GA,Georgia,SEC,92746,Grass
Scheumann Stadium,Muncie,IN,Ball State,MAC,22500,FieldTurf
SECU Stadium,College Park,MD,Maryland,Big Ten,51802,FieldTurf
SHI Stadium,Piscataway,NJ,Rutgers,Big Ten,52454,FieldTurf
Simmons Bank Liberty Stadium,Memphis,TN,Memphis,American,62380,AstroTurf
Skelly Field at H. A. Chapman Stadium,Tulsa,OK,Tulsa,American,30000,FieldTurf
Snapdragon Stadium,San Diego,CA,San Diego State,Mountain West,35000,Grass
Sonny Lubick Field at Canvas Stadium,Fort Collins,CO,Colorado State,Mountain West,41200,Shaw Sports Artificial Turf
Spartan Stadium,East Lansing,MI,Michigan State,Big Ten,75005,Grass
Stanford Stadium,Stanford,CA,Stanford,Pac-12,50424,Grass
Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,Gainesville,FL,Florida,SEC,88548,Grass
Sun Bowl Stadium,El Paso,TX,UTEP,C-USA,46670,FieldTurf
Tiger Stadium,Baton Rouge,LA,LSU,SEC,102321,Grass
Allegacy Federal Credit Union Stadium,Winston-Salem,NC,Wake Forest,ACC,31500,FieldTurf
UB Stadium,Amherst,NY,Buffalo,MAC,29013,A-Turf Titan
University Stadium,Albuquerque,NM,New Mexico,Mountain West,39224,FieldTurf
Valley Childrens Stadium,Fresno,CA,Fresno State,Mountain West,41031,FieldTurf
FirstBank Stadium,Nashville,TN,Vanderbilt,SEC,28500,Shaw Sports Legion 46
Vaught–Hemingway Stadium at Hollingsworth Field,Oxford,MS,Mississippi,SEC,64038,Grass
Veterans Memorial Stadium at Larry Blakeney Field,Troy,AL,Troy,Sun Belt,30402,ProGrass
Waldo Stadium,Kalamazoo,MI,Western Michigan,MAC,30200,FieldTurf
Warren McGuirk Alumni Stadium,Hadley,MA,UMass,Independent,17000,FieldTurf
Wayne Day Family Field at Carter–Finley Stadium,Raleigh,NC,NC State,ACC,57583,Tifway 419 Bermuda Grass
Williams-Brice Stadium,Columbia,SC,South Carolina,SEC,77559,Grass
